wine_index,pH,residual_sugar,sulphates,density,chlorides,alcohol,quality
983,3.34,2.1,0.82,0.99418,0.07,12.9,6
984,3.32,1.9,0.71,0.99774,0.065,10.5,6
985,3.13,1.4,0.63,0.9969,0.075,10.4,5
986,3.45,2,0.58,0.99562,0.064,11.3,6
987,3.19,1.4,0.55,0.9947,0.066,11.4,7
988,3.44,1.6,0.5,0.99693,0.08,9.4,5
989,3.16,1.7,0.49,0.99596,0.097,9.4,5
990,3.14,1.5,0.51,0.99556,0.073,10.9,6
991,3.16,1.7,0.49,0.99596,0.097,9.4,5
992,3.45,2,0.48,0.99694,0.082,9.4,5
993,3.36,2,0.48,0.99554,0.076,9.4,6
994,3.45,2,0.48,0.99694,0.082,9.4,5
995,3.15,2.5,0.43,0.99918,0.092,9.4,5
996,3.39,2,0.62,0.99697,0.079,10.1,6
997,3.71,2.2,0.63,0.99378,0.087,12.8,7
998,3.71,2.2,0.63,0.99378,0.087,12.8,7
999,3.12,1.4,0.48,0.99554,0.05,9.1,6
1000,3.47,1.65,0.53,0.99162,0.055,12.9,6
1001,3.44,2.2,0.72,0.99495,0.062,11.5,7
1002,3.26,1.5,0.82,0.99676,0.058,10.6,7
1003,3.26,2.05,0.84,0.99516,0.063,11.7,7
1004,3.36,1.8,0.55,0.9928,0.067,12.8,7
1005,3.25,1.6,0.54,0.99603,0.081,10.3,5
1006,3.36,1.8,0.55,0.9928,0.067,12.8,7
1007,3.26,2.05,0.84,0.99516,0.063,11.7,7
1008,3.26,2,0.84,0.99516,0.064,11.7,7
1009,3.23,3.6,0.7,0.99549,0.11,12,7
1010,3.18,2.8,0.68,0.99722,0.116,10.9,5
1011,3.25,1.7,0.55,0.99354,0.067,12.3,7
1012,3.17,2,0.55,0.9957,0.088,10.4,6
1013,3.23,2.1,0.48,0.99604,0.102,10,5
1014,3.38,1.6,0.58,0.99635,0.092,10,6
1015,3.22,2,0.58,0.99454,0.12,11.2,6
1016,3.06,2.2,0.84,0.99598,0.075,11.4,6
1017,3.27,2.2,0.75,0.99486,0.068,12.6,7
1018,2.89,0.9,0.44,0.99007,0.049,12.7,6
1019,2.89,0.9,0.44,0.99007,0.049,12.7,6
1020,3.53,1.8,0.61,0.99636,0.078,10.4,5
1021,3.2,2.4,0.53,0.99642,0.123,11.9,6
1022,3.2,2.4,0.53,0.99642,0.123,11.9,6
1023,3.35,2.1,0.54,0.99584,0.062,10.5,5
1024,3.27,2.3,0.55,0.99506,0.098,12.3,6
1025,3.32,1.8,0.56,0.99568,0.088,10.5,7
1026,3.33,2.8,0.6,0.99822,0.095,10.4,6
1027,3.41,1.9,0.56,0.99364,0.066,12.6,6
1028,3.49,2.2,0.52,0.99378,0.065,11.6,5
1029,3.37,2.5,0.54,0.99586,0.075,10.1,6
1030,3.32,1.8,0.56,0.99568,0.088,10.5,7
1031,3.42,2.1,0.55,0.99488,0.091,11.5,7
1032,3.35,1.8,0.58,0.99514,0.093,11,7
1033,3.36,4.1,0.53,0.99854,0.095,9.6,5
1034,3.3,2.6,0.59,0.99592,0.089,10.4,6
1035,3.2,2.5,0.47,0.99739,0.077,9.7,6
1036,3.17,2.4,0.65,0.99683,0.085,10.6,7
1037,3.22,2.5,0.59,0.99356,0.082,12.5,7
1038,3.35,1.8,0.56,0.99672,0.074,9.2,5
1039,3.24,6.2,0.77,0.9953,0.078,12.6,7
1040,3.33,2.2,0.83,0.99692,0.088,11.1,6
1041,3.58,2.2,0.67,0.99756,0.088,10.2,5
1042,3.38,1.7,0.64,0.99547,0.079,9.8,6
1043,3.33,2.2,0.83,0.99692,0.088,11.1,6
1044,3.29,8.9,0.81,0.99859,0.069,10.9,7
1045,3.36,3.3,0.62,0.99294,0.046,12.2,6
1046,3.32,1.4,0.58,0.99438,0.07,11.4,6
1047,3.31,1.7,0.62,0.99612,0.076,10.7,6
1048,3.49,1.8,0.64,0.99634,0.082,10.4,5
1049,3.27,1.7,0.78,0.99702,0.081,10.9,6
1050,3.27,1.8,0.77,0.99704,0.084,10.8,6
1051,3.49,1.8,0.64,0.99634,0.082,10.4,5
1052,3.03,1.4,1.34,0.99702,0.414,9.2,5
1053,3.56,2.4,0.55,0.99258,0.073,12.9,5
1054,3.38,2.3,0.77,0.99426,0.07,12.7,7
1055,3.13,2,0.62,0.99747,0.095,9.1,6
1056,3.13,2,0.62,0.99747,0.095,9.1,6
1057,3.21,4,0.59,0.99586,0.101,12.1,7
1058,3.15,3.9,0.57,0.99784,0.104,9.1,5
1059,3.19,2.4,0.76,0.9971,0.093,11.6,7
1060,3.21,4,0.59,0.99586,0.101,12.1,7
1061,3.14,1.8,0.7,0.9981,0.074,9.9,6
1062,3.21,1.8,0.69,0.99462,0.071,12.5,8
1063,3.3,1.9,0.64,0.9956,0.098,11.4,6
1064,3.22,2.4,0.63,0.99565,0.075,11.8,6
1065,3.28,2,0.57,0.99418,0.067,11.8,6
1066,3.29,2.4,0.6,0.9963,0.083,10.2,6
1067,3.4,2.4,0.72,0.99358,0.07,12.5,7
1068,3.02,2.2,0.83,0.99572,0.06,10.9,7
1069,3.02,2.2,0.83,0.99572,0.06,10.9,7
1070,3.31,2.8,0.62,0.997,0.086,10.8,5
1071,3.18,1.5,0.89,0.99498,0.057,11.1,7
1072,3.2,8.1,0.58,0.99892,0.098,9.2,5
1073,3.4,1.8,0.58,0.9968,0.083,9.5,6
1074,3.31,2.7,0.58,0.9972,0.088,10.7,6
1075,3.2,8.1,0.58,0.99892,0.098,9.2,5
1076,3.44,2,0.86,0.99769,0.071,10.2,7
1077,3.15,2,0.73,0.99534,0.073,11.4,6
1078,3.27,6.4,0.58,0.99817,0.08,11,5
1079,3.27,6.4,0.58,0.99817,0.08,11,5
1080,3.01,8.3,0.51,0.99316,0.05,12.3,7
1081,3.16,1.4,0.51,0.99471,0.047,11.8,6
1082,3.01,8.3,0.51,0.99316,0.05,12.3,7
1083,3.42,1.8,0.59,0.99685,0.073,9.5,6
1084,3.33,2.4,0.77,0.99617,0.072,12,6
1085,3.42,1.8,0.59,0.99685,0.073,9.5,6
1086,3.12,1.8,0.49,0.99529,0.074,9.6,5
1087,3.38,4.7,0.66,0.99738,0.055,11.6,7
1088,3.29,1.6,0.69,0.994,0.057,11.2,6
1089,3.02,1.5,0.76,0.99735,0.095,9.9,7
1090,3.02,1.5,0.76,0.99735,0.095,9.9,7
1091,2.98,1.9,0.63,0.99451,0.083,11.8,8
1092,3.35,2,0.6,0.99546,0.086,11.4,6
1093,3.43,2,0.59,0.99479,0.081,11.5,6
1094,3.33,2.2,0.86,0.99615,0.079,12,7
1095,3.35,5.5,0.49,0.99655,0.117,10.8,6
1096,3.15,2.5,0.5,0.99772,0.087,10.5,5
1097,3.35,5.5,0.49,0.99655,0.117,10.8,6
1098,3.2,1.5,0.52,0.99666,0.096,9.4,5
1099,3.15,2.1,0.81,0.99358,0.216,12.5,7
1100,3.2,1.5,0.52,0.99666,0.096,9.4,5
1101,3.11,2.1,0.78,0.99392,0.072,12.4,6
1102,3.35,2.1,0.63,0.99388,0.071,12,6
1103,3.45,1.7,0.54,0.99402,0.078,11.2,6
1104,3.35,2.1,0.63,0.99388,0.071,12,6
1105,3.28,2.2,0.66,0.9936,0.073,12.4,6
1106,3.41,2.1,0.6,0.99374,0.048,12.8,5
1107,3.21,1.9,0.54,0.99376,0.069,12.3,6
1108,3.27,2,0.85,0.99523,0.068,11.7,7
1109,3.36,3.3,0.49,0.99855,0.09,9.5,5
1110,3.17,2.1,0.76,0.9982,0.171,10.8,6
1111,3.25,1.4,0.64,0.99593,0.07,10,6
1112,3.78,2,0.64,0.99471,0.092,12.3,7
1113,3.29,1.5,0.71,0.99396,0.056,11,6
1114,3.12,1.6,0.59,0.99698,0.074,9.5,6
1115,3.49,4.3,0.66,0.9902,0.046,13.6,6
1116,3.38,2.5,0.6,0.99572,0.091,11.3,6
1117,3.38,2.5,0.6,0.99572,0.091,11.3,6
1118,3.38,2.5,0.6,0.99572,0.091,11.3,6
1119,3.3,2.1,0.53,0.99252,0.065,13.3,6
1120,3.52,2.5,0.58,0.99256,0.066,12.9,5
1121,3.2,2.5,0.72,0.99235,0.076,13.1,8
1122,3.44,1.8,0.55,0.99352,0.062,12.3,6
1123,3.45,1.4,0.48,0.9922,0.055,12.3,6
1124,3.12,1.9,0.65,0.99674,0.081,11.2,6
1125,3.62,2.2,0.62,0.99557,0.096,11.5,4
1126,3.14,1.7,0.59,0.99394,0.055,11.3,7
1127,3.39,1.7,0.54,0.9915,0.063,13.5,6
1128,3.51,2.9,0.6,0.99379,0.072,11.5,6
1129,3.22,2.7,0.68,0.9984,0.095,10,5
1130,3.21,3.3,0.69,0.99798,0.092,10.5,6
1131,3.18,1.9,0.63,0.9977,0.058,10.4,6
1132,3.32,1.7,0.44,0.99341,0.045,9.5,5
1133,3.38,1.8,0.88,0.9933,0.075,13.6,7
1134,3.37,5.5,0.68,0.99684,0.089,11.2,7
1135,3.3,1.7,0.74,0.99524,0.061,11.8,7
1136,3.38,1.7,0.6,0.9946,0.067,11.9,6
1137,3.22,2,0.76,0.99774,0.08,11.4,6
1138,3.22,2,0.76,0.99774,0.08,11.4,6
1139,3.14,3.7,0.58,0.99786,0.104,9.1,5
1140,3.34,2,0.64,0.99764,0.079,9.5,6
1141,3.41,1.7,0.65,0.9969,0.08,9.5,6
1142,3.27,2.5,0.85,0.99624,0.08,11,6
1143,3.3,2.4,0.65,0.99354,0.043,11.4,6
1144,3.61,1.8,0.82,0.99672,0.065,10,6
1145,3.43,2.3,0.62,0.99588,0.066,10.1,5
1146,3.53,2.5,0.81,0.99672,0.076,10.4,6
1147,3.28,1.8,0.87,0.996,0.178,9.8,6
1148,3.21,6.2,0.49,0.99702,0.071,11.8,7
1149,3.39,2,0.66,0.99526,0.086,11.6,6
1150,3.23,2,0.52,0.99585,0.061,12,6
1151,3.3,2.8,0.76,0.99473,0.067,12.8,7
1152,3.46,2.5,0.65,0.99352,0.044,12.5,6
1153,3.15,2.2,0.53,0.99616,0.118,9.8,5
1154,3.23,2.1,0.66,0.99622,0.083,11.1,6
1155,3.59,2.2,0.68,0.99544,0.1,11.4,6
1156,3.15,2.2,0.53,0.99616,0.118,9.8,5
1157,3.33,1.75,0.76,0.99524,0.071,11.8,7
1158,3.46,2.1,0.87,0.9924,0.042,12.9,7
1159,3.42,2.8,1.16,0.99572,0.076,10.6,6
1160,3.16,2.2,0.67,0.99728,0.11,10.8,5
1161,3.14,2.3,0.72,0.99676,0.087,11.1,7
1162,3.21,1.4,0.75,0.99551,0.076,10.2,6
1163,3.14,2.3,0.71,0.99434,0.075,11.8,7
1164,3.29,1.7,0.67,0.99692,0.078,10,5
1165,3.29,1.7,0.67,0.99692,0.078,10,5
1166,3.01,1.9,1.1,0.99634,0.369,9.4,5
1167,2.94,2,0.98,0.99709,0.111,10.2,5
1168,3.32,2.5,0.88,0.99528,0.074,12.4,7
1169,3.21,2.8,0.56,0.99384,0.067,12,6
1170,3.32,2.3,0.62,0.99502,0.086,11.5,6
1171,3.2,1.6,0.67,0.99667,0.062,10.5,6
1172,3.42,2.2,0.68,0.99522,0.078,10.8,6
1173,3.27,2.1,0.74,0.99649,0.074,12.3,6
1174,3.46,1.7,0.62,0.99716,0.079,9.5,6
1175,3.46,1.7,0.62,0.99716,0.079,9.5,6
1176,3.61,2.2,0.7,0.99541,0.095,11.5,6
1177,3.58,5.6,0.5,0.99572,0.079,11.2,4
1178,3.35,2.4,0.66,0.99318,0.052,12.7,7
1179,3.68,2.1,0.73,0.99346,0.041,11.4,5
1180,3.27,2.4,0.81,0.99599,0.076,11,6
1181,3.27,2.4,0.81,0.99599,0.076,11,6
1182,3.19,1.65,0.46,0.99478,0.068,11.4,5
1183,3.38,2.5,0.86,0.99754,0.068,10.5,6
1184,3.29,1.6,0.6,0.99572,0.07,9.3,5
1185,3.36,2.1,0.7,0.99538,0.08,10.9,5
1186,3.33,2,0.46,0.99346,0.085,11.9,6
1187,3.52,7.8,0.5,0.9963,0.079,12.2,5
1188,3.33,2,0.46,0.99346,0.085,11.9,6
1189,3.36,2.1,0.7,0.99538,0.08,10.9,5
1190,3.3,1.8,0.44,0.99616,0.075,9.6,4
1191,3.28,4.6,0.57,0.99652,0.08,12.5,6
1192,3.56,2.3,0.51,0.99551,0.166,10.8,5
1193,3.52,2.5,0.8,0.99439,0.063,12.4,7
1194,3.56,2.3,0.51,0.99551,0.166,10.8,5
1195,3.22,1.8,0.59,0.99588,0.114,9.5,6
1196,3.52,1.8,0.6,0.99633,0.078,9.5,6
1197,3.21,2.3,0.58,0.99686,0.076,9.5,6
1198,3.16,1.5,0.54,0.99458,0.069,9.8,6
1199,3.15,2,0.79,0.9951,0.052,10.9,6
1200,3.21,2.3,0.58,0.99686,0.076,9.5,6
1201,3.16,1.5,0.54,0.99458,0.069,9.8,6
1202,3.27,1.9,0.54,0.99419,0.065,11.2,7
1203,3.35,1.8,0.69,0.99516,0.068,11.7,8
1204,3.14,5.8,0.55,0.99878,0.111,9.4,5
1205,3.4,2.1,0.85,0.99534,0.074,11,7
1206,3.4,2.1,0.85,0.99534,0.074,11,7
1207,3.4,2.1,0.85,0.99534,0.074,11,7
1208,3.35,1.7,0.94,0.99752,0.136,10,5
1209,3.4,2.1,0.85,0.99534,0.074,11,7
1210,3.45,2,0.87,0.99428,0.071,11.2,7
1211,3.35,2.1,0.62,0.99498,0.078,10.4,6
1212,3.32,2.1,0.62,0.9957,0.076,9.3,5
1213,3.35,2.1,0.62,0.99498,0.078,10.4,6
1214,3.15,1.9,0.75,0.99659,0.071,10.5,6
1215,3.1,1.9,0.48,0.99628,0.081,10.4,6
1216,3.26,2.1,0.56,0.99488,0.095,11.3,6
1217,3.29,2,0.69,0.99677,0.079,9.5,6
1218,3.23,1.9,0.81,0.99408,0.057,12,6
1219,3.24,1.9,0.69,0.996,0.082,10.6,6
1220,3.2,1.3,0.83,0.99478,0.044,10.9,6
1221,3.28,1.8,0.77,0.99734,0.132,11.5,6
1222,3.28,1.8,0.77,0.99734,0.132,11.5,6
1223,3.26,2.2,0.46,0.99678,0.078,9.6,6
1224,3.23,2.2,0.76,0.99638,0.074,12,6
1225,3.07,2.5,0.82,0.9992,0.08,10.3,6
1226,3.15,2.6,0.51,0.99922,0.091,9.4,5
1227,3.02,4.1,0.47,0.99592,0.08,9.2,5
1228,3.27,2,0.72,0.99769,0.104,9.6,5
1229,3.68,1.8,0.73,0.99157,0.044,13.6,7
1230,3.4,2.1,0.64,0.99718,0.075,9.5,5
1231,3.37,2.7,0.78,0.9947,0.066,11.8,6
1232,3.38,2.6,0.62,0.99621,0.074,10.8,5
1233,3.4,2.1,0.64,0.99718,0.075,9.5,5
1234,3.23,2.2,0.49,0.99614,0.057,9.3,4
1235,3.39,2.2,0.4,0.99242,0.059,12.8,6
1236,3.3,12.9,0.56,0.99572,0.054,11.5,4
1237,3.26,1.7,0.64,0.99659,0.07,9.4,6
1238,3.39,2.2,0.4,0.99242,0.059,12.8,6
1239,3.38,2.5,0.46,0.99798,0.081,9.6,4
1240,3.45,4.3,0.56,0.99488,0.057,11.8,4
1241,3.1,1.7,0.4,0.99494,0.076,9.3,5
1242,3.16,2.5,0.59,0.99729,0.079,9.8,5
1243,3.22,2,0.6,0.99414,0.058,12.2,6
1244,3.37,2.4,0.62,0.9983,0.082,9.5,5
1245,3.33,13.4,0.54,0.99721,0.067,10.3,6
1246,3.49,1.8,0.68,0.99655,0.082,10.5,5
1247,3.12,1.7,0.48,0.99502,0.086,10,5
1248,3.49,1.8,0.68,0.99655,0.082,10.5,5
1249,3.41,2.2,0.75,0.9949,0.081,11.1,6
1250,3.4,2.3,0.61,0.99514,0.079,10.9,6
1251,3.4,2.3,0.61,0.99514,0.079,10.9,6
1252,3.28,2.2,0.59,0.9963,0.077,9.8,5
1253,3.45,1.8,0.58,0.99627,0.123,9.8,5
1254,3.43,1.4,0.58,0.99569,0.096,9.5,5
1255,3.4,1.9,0.69,0.99628,0.079,10.9,5
1256,3.47,2.4,0.45,0.99358,0.069,11,5
1257,3.1,1.8,0.42,0.99499,0.082,9.2,5
1258,3.32,4.8,0.7,0.99633,0.085,11,6
1259,3.44,2.7,0.63,0.99538,0.123,11.3,6
1260,3.44,2.7,0.63,0.99538,0.123,11.3,6
1261,3.02,1.8,1.15,0.99632,0.403,9.3,5
1262,3.59,2,0.55,0.99437,0.083,11.2,4
1263,3.15,2.5,0.58,0.99726,0.081,9.8,5
1264,3.37,2.2,0.46,0.9978,0.089,9.6,4
1265,3.38,1.8,0.72,0.99456,0.066,11.8,6
1266,3.38,2.3,0.6,0.99564,0.081,10.3,6
1267,3.38,2.3,0.6,0.99564,0.081,10.3,6
1268,3.1,2.3,0.87,0.996,0.068,11.4,6
1269,3.47,2,0.55,0.99668,0.079,9.5,6
1270,3.5,1.8,0.82,0.9908,0.044,14,8
1271,3.7,1.6,0.75,0.99084,0.048,14,6
1272,3.38,1.6,0.57,0.9935,0.049,11.7,6
1273,3.5,1.9,0.53,0.99385,0.077,11.2,5
1274,3.1,2,0.43,0.99494,0.073,9.3,5
1275,3.24,2.1,0.53,0.9944,0.102,11.2,6
1276,3.24,2.3,0.54,0.99688,0.075,9.5,6
1277,3.28,6.3,0.56,0.99566,0.05,12,4
1278,3.35,1.9,0.6,0.99636,0.114,9.7,6
1279,3.24,2.3,0.54,0.99688,0.075,9.5,6
1280,3.14,1.7,0.57,0.9948,0.062,11.5,7
1281,3.37,1.9,0.64,0.9956,0.077,10.4,6
1282,3.37,1.9,0.64,0.9956,0.077,10.4,6
1283,3.33,2,0.68,0.99619,0.084,10.9,6
1284,3.26,2.7,0.63,0.99734,0.096,10.2,6
1285,3.39,2.3,0.56,0.99476,0.071,10.9,5
1286,3.15,1.8,0.57,0.99734,0.09,10.5,5
1287,3.35,2.5,0.54,0.99328,0.068,12.4,6
1288,3.22,2.6,0.37,0.99286,0.056,13,5
1289,3.3,4.5,1.17,0.99914,0.068,10.2,5
1290,3.3,4.5,1.17,0.99914,0.068,10.2,5
1291,3.36,1.9,0.59,0.99521,0.1,11,5
1292,3.29,2.1,0.75,0.99638,0.073,10.9,6
1293,3.62,2.4,0.67,0.99362,0.056,12.4,6
1294,3.34,1.9,0.49,0.99672,0.084,9.7,4
1295,3.29,2.1,0.75,0.99638,0.073,10.9,6
1296,3.2,4.3,0.45,0.99558,0.093,9.5,5
1297,3.2,4.3,0.45,0.99558,0.093,9.5,5
1298,3.35,2.1,0.61,0.99323,0.064,12.1,6
1299,3.45,1.4,0.56,0.99191,0.063,12.2,6
1300,3.5,2.1,0.4,0.99476,0.137,10.9,3
1301,3.78,2.15,0.61,0.99444,0.08,12.5,6
1302,3.6,2,0.74,0.99598,0.1,11.7,6
1303,3.3,2.1,0.8,0.99576,0.064,11.2,6
1304,3.36,1.8,0.66,0.99501,0.081,11.2,5
1305,3.12,2.3,0.44,0.9955,0.087,9.2,5
1306,3.3,1.9,0.53,0.99612,0.073,9.8,5
1307,3.29,2.5,0.62,0.9979,0.088,10.1,5
1308,3.41,3.9,0.52,0.99524,0.068,11.1,4
1309,3.29,2.5,0.62,0.9979,0.088,10.1,5
1310,3.28,1.4,0.61,0.996,0.071,9.2,5
1311,3.3,1.9,0.53,0.99612,0.073,9.8,5
1312,3.33,3,0.59,0.9929,0.064,12.8,6
1313,3.34,1.9,0.47,0.99532,0.083,10.5,5
1314,3.4,2.3,0.54,0.99558,0.086,10.1,6
1315,3.4,2.4,0.53,0.99556,0.086,10.1,6
1316,3.26,2,0.58,0.99616,0.083,9.8,6
1317,4.01,1.2,0.59,0.99258,0.041,12.5,6
1318,3.18,2.2,0.69,0.99638,0.091,11.9,6
1319,3.26,2,0.58,0.99616,0.083,9.8,6
1320,2.9,1.7,1.33,0.99652,0.414,9.1,6
1321,3.26,2.6,0.66,0.99796,0.094,10.1,5
1322,4.01,1.2,0.59,0.99258,0.041,12.5,6
1323,3.18,1.8,0.55,0.99392,0.058,11.4,5
1324,3.18,1.8,0.82,0.99495,0.06,11,7
1325,3.39,1.7,0.6,0.9948,0.077,10.6,6
1326,3.39,1.7,0.6,0.9948,0.077,10.6,6
1327,3.39,1.7,0.6,0.9948,0.077,10.6,6
1328,3.39,1.7,0.6,0.9948,0.077,10.6,6
1329,3.34,1.8,0.52,0.9955,0.073,9.3,5
1330,3.29,2.1,0.56,0.99616,0.083,9.8,6
1331,3.29,2.1,0.56,0.99616,0.083,9.8,6
1332,3.26,3.8,0.46,0.99668,0.107,9.2,5
1333,3.09,1.7,0.43,0.99581,0.075,9.7,6
1334,3.18,2.2,0.51,0.9976,0.079,9.6,5
1335,3.39,2,0.52,0.99608,0.166,10,5
1336,3.38,2.4,0.66,0.99387,0.069,12.6,6
1337,3.36,1.4,0.45,0.99448,0.057,9.5,5
1338,3.36,1.4,0.45,0.99448,0.057,9.5,5
1339,3.36,1.4,0.45,0.99448,0.057,9.5,5
1340,3.36,1.7,0.54,0.99538,0.084,10.5,6
1341,3.36,1.7,0.54,0.99538,0.084,10.5,6
1342,3.36,1.7,0.54,0.99538,0.084,10.5,6
1343,3.37,1.7,0.51,0.99589,0.085,10.4,6
1344,3.36,1.7,0.54,0.99538,0.084,10.5,6
1345,3.09,2.6,0.53,0.99852,0.077,11,5
1346,3.25,2.3,0.53,0.99613,0.063,10.2,6
1347,3.52,2.1,0.56,0.99472,0.056,11.4,5
1348,3.34,1.8,0.39,0.99587,0.078,9.5,5
1349,3.34,1.8,0.39,0.99587,0.078,9.5,5
1350,3.41,2.8,0.52,0.99518,0.081,10.8,5
1351,3.34,2,0.57,0.99654,0.069,10,5
1352,3.32,2.3,0.51,0.99332,0.065,11.8,6
1353,3.37,1.9,0.46,0.9969,0.086,10.3,5
1354,3.37,1.9,0.46,0.9969,0.086,10.3,5
1355,3.35,2.3,0.52,0.99568,0.077,10,5
1356,3.36,1.8,0.44,0.99464,0.086,10.1,5
1357,3.36,1.8,0.44,0.99464,0.084,10.1,5
1358,3.6,2.5,0.59,0.99648,0.078,11.1,6
1359,3.28,5.4,0.5,0.99736,0.168,9.5,5
1360,3.07,1.4,0.65,0.99704,0.091,10.03333333,6
1361,3.24,2.3,0.56,0.99699,0.112,10.9,5
1362,3.36,2.5,0.54,0.99724,0.093,10.1,5
1363,3.07,1.4,0.65,0.99704,0.091,10.03333333,6
1364,3.29,2,0.48,0.99652,0.08,9.8,4
1365,3.46,1.9,0.53,0.995,0.096,11.8,6
1366,3.18,2.2,0.62,0.9971,0.115,9.5,5
1367,3.24,1.7,0.5,0.99576,0.094,9.8,5
1368,3.25,2.2,1.18,0.99725,0.088,10.5,6
1369,3.27,2.1,0.5,0.99656,0.079,9.8,6
1370,3.33,1.6,0.37,0.99396,0.069,10.4,4
1371,3,1.7,1.17,0.99623,0.415,9.2,5
1372,3.21,3.1,1.03,0.99476,0.153,11.6,6
1373,3,1.7,1.17,0.99623,0.415,9.2,5
1374,3.24,3.8,0.45,0.99664,0.11,9.3,5
1375,3.32,1.2,0.51,0.99471,0.267,9.8,3
1376,3.26,2,0.52,0.99586,0.083,9.9,5
1377,3.11,1.4,0.46,0.9946,0.086,10,5
1378,3.71,2.3,0.62,0.9953,0.09,12.2,6
1379,3.29,2,0.51,0.99609,0.078,9.9,6
1380,3.36,2.6,0.62,0.99557,0.077,10.8,6
1381,3.36,2.6,0.62,0.99557,0.077,10.8,6
1382,3.38,1.8,0.45,0.99534,0.074,9.6,5
1383,3.3,2.1,0.49,0.99613,0.08,9.9,5
1384,3.3,2.1,0.49,0.99613,0.08,9.9,5
1385,3.19,1.8,0.5,0.99593,0.107,9.5,5
1386,3.19,3.4,0.42,0.99668,0.076,9.2,5
1387,3.3,1.8,0.58,0.9961,0.1,9.6,5
1388,3.3,1.8,0.58,0.9961,0.1,9.6,5
1389,3.35,6.1,0.68,0.99718,0.083,10.3,5
1390,3.1,2.2,0.53,0.99524,0.08,9.7,5
1391,3.58,2.3,0.59,0.99292,0.068,12.5,6
1392,3.37,2.4,0.58,0.99612,0.094,11,5
1393,3.17,1.3,0.48,0.9942,0.07,9.8,5
1394,3.3,2,0.48,0.99612,0.078,10.2,5
1395,3.32,3.9,0.48,0.99669,0.07,9.2,5
1396,3.31,1.6,0.65,0.99745,0.092,9.55,6
1397,3.31,1.6,0.65,0.99745,0.09,9.55,5
1398,3.28,2,0.52,0.99584,0.08,9.9,5
1399,3.52,2.2,0.62,0.9966,0.083,10.2,7
1400,3.42,2.2,0.72,0.9956,0.068,11.1,6
1401,3.25,2.1,0.51,0.9962,0.08,9.9,5
1402,3.25,2.1,0.51,0.9962,0.08,9.9,5
1403,3.44,2,0.82,0.9963,0.052,11.9,6
1404,3.23,1.7,1.1,0.996,0.061,10,8
1405,3.43,2.6,0.62,0.9985,0.082,10.7,6
1406,3.28,2,0.9,0.9952,0.062,11.3,7
1407,3.22,5.1,0.94,0.9974,0.062,10.9,6
1408,3.54,2.1,0.93,0.995,0.064,10.7,6
1409,3.27,2.2,1.01,0.995,0.048,12.4,7
1410,3.54,2.1,0.93,0.995,0.064,10.7,6
1411,3.5,1.8,0.44,0.9936,0.082,11.9,6
1412,3.56,2.4,0.73,0.9963,0.071,10.6,6
1413,3.22,5.1,0.94,0.9974,0.062,10.9,6
1414,3.04,2,0.9,0.9963,0.104,10.1,5
1415,3.2,2.2,0.78,0.9994,0.077,9.6,5
1416,3.56,1.6,0.84,0.9966,0.065,9.4,5
1417,3.2,2.2,0.78,0.9994,0.077,9.6,5
1418,3.35,2.5,0.77,0.9952,0.064,12.1,7
1419,3.16,1.6,0.46,0.995,0.077,9.8,5
1420,3.27,2.2,0.45,0.9956,0.077,9.9,5
1421,3.16,1.6,0.46,0.995,0.077,9.8,5
1422,3.34,1.6,0.58,0.9965,0.079,9.4,5
1423,3.39,2.1,0.84,0.9956,0.079,11.4,6
1424,3.5,3.9,0.67,0.9968,0.123,11,4
1425,3.26,1.4,0.7,0.9974,0.076,9.6,6
1426,3.26,1.4,0.7,0.9974,0.076,9.6,6
1427,3.41,1.8,0.71,0.9971,0.046,12.1,6
1428,3.3,2.5,0.58,0.9957,0.078,11.2,5
1429,3.31,1.9,0.63,0.9962,0.072,11,5
1430,3.33,2.2,0.93,0.996,0.049,11.3,5
1431,3.37,1.8,0.62,0.9956,0.066,10.4,5
1432,3.26,2.1,0.54,0.9958,0.069,9.9,6
1433,3.48,1.6,0.85,0.9944,0.042,11.7,6
1434,3.42,1.8,0.74,0.9955,0.069,10.1,7
1435,3.18,15.4,0.77,1.00369,0.214,9,6
1436,3.18,15.4,0.77,1.00369,0.214,9,6
1437,3.15,1.6,0.65,0.99914,0.169,8.5,5
1438,3.53,4.8,0.54,0.99577,0.07,11.1,5
1439,3.41,1.7,0.47,0.996,0.052,10.3,5
1440,3.32,2.2,0.68,0.99566,0.072,11.06666667,6
1441,3.23,2,0.73,0.9947,0.062,11.3,7
1442,3.16,5.2,0.52,0.99713,0.094,9.566666667,6
1443,3.4,1.9,0.75,0.99712,0.078,9.8,5
1444,3.38,1.75,0.49,0.99322,0.058,11.7,5
1445,3.32,2.2,0.68,0.99566,0.072,11.1,6
1446,3.16,5.2,0.52,0.99713,0.094,9.6,6
1447,3.4,1.9,0.75,0.99712,0.078,9.8,5
1448,3.4,1.9,0.74,0.99701,0.08,9.7,5
1449,3.4,1.9,0.73,0.99683,0.08,9.7,5
1450,3.23,2,0.76,0.99472,0.056,11.3,8
1451,3.23,2,0.73,0.9947,0.062,11.3,7
1452,3.33,2.7,0.78,0.99732,0.104,11,7
1453,3.35,2,0.76,0.99374,0.062,11.6,7
1454,3.41,1.9,0.58,0.99706,0.074,9,5
1455,3.21,2.2,0.69,0.99974,0.073,10.9,6
